OrderID,Order date,Start date,End date,Email,CardNumber,PackageID,HotelID,Number of nights,FlightFromNumber,FlightToNumber,Hotel Name,Stars,Review Scores,PropertyStyle,Wifi,Hotel City,Hotel Country,WW Erea,Flight company- From,Flight company- Back,Gender,Birthdate,Age,GroupAge,Order Month,Order weekday,Order hour,Starting date- year,Starting date- Quarter,Starting date- Month,Number of travelers,Price per traveler,Revenue per order,Is returned customer?,Profit,temperature
531368059,31/12/2012 3:22,12/06/2013 0:00,18/06/2013 0:00,ismail@yahoo.ca,2594853798922820,554894543,49,7,XG0027,OS3104,Hilton,4,7,Ski,False,Budapest,Hungary,Europe,Azores Airlines,China Airlines,F,12/10/1987 0:00,34,25-35,12,2,3,2013,2,6,1,14391.628,14391.628,TRUE,3453.99072,-6.023174508
531339095,09/05/2014 23:30,09/06/2014 0:00,10/06/2014 0:00,NULL,7786796170211470,1760272077,208,2,VP5392,RP2951,Choice,5,8,Romantic,True,Lahore,Pakistan,Asia,LATAM Brasil,Hawaiian Airlines,F,NULL,#VALUE!,,5,6,23,2014,2,6,1,10271.976,10271.976,FALSE,2465.27424,13
531365235,20/09/2013 16:57,26/01/2014 0:00,31/01/2014 0:00,fhirsch@verizon.net,3283374102091810,1562771496,140,6,AF6854,FQ6120,Accor,1,5,Beach,True,New York City,United States,North America,Cathay Pacific,Air Transat,F,ALUE!,#VALUE!,,9,6,16,2014,1,1,1,10144.0925,10144.0925,TRUE,2637.46405,34.15230777
531370447,14/03/2015 17:42,09/09/2015 0:00,10/09/2015 0:00,twoflower@optonline.net,9143619426869370,567140730,51,2,WU1417,JE3098,Hilton,5,10,Luxury,True,Islamabad,Pakistan,Asia,Southwest,Vietnam Airlines,F,27/10/1999 0:00,22,-25,3,7,17,2015,3,9,1,12004.655,12004.655,TRUE,2660.88445,7
1931500715,20/07/2015 12:10,03/10/2015 0:00,11/10/2015 0:00,lrssytr.wocgrgnc@gmail.com,2562867774283150,567140730,51,9,WU1417,JE3098,Hilton,4,8,Luxury,True,Islamabad,Pakistan,Asia,Southwest,Vietnam Airlines,F,03/06/1962 0:00,60,55-65,7,2,12,2015,4,10,1,12004.655,12004.655,TRUE,2940.97755,10
531360439,10/10/2011 3:54,16/12/2011 0:00,17/12/2011 0:00,peterhoeg@yahoo.com,3058981526494300,554894543,49,2,XG0027,OS3104,Hilton,5,8,Ski,False,Budapest,Hungary,Europe,Azores Airlines,China Airlines,F,16/06/1988 0:00,34,25-35,10,2,3,2011,4,12,1,13958.6435,13958.6435,TRUE,2512.55583,-9.803002975
923041873,06/10/2015 0:45,27/01/2016 0:00,05/02/2016 0:00,NULL,1935367713213910,554894543,49,10,XG0027,OS3104,Hilton,5,9,Ski,False,Budapest,Hungary,Europe,Azores Airlines,China Airlines,F,NULL,#VALUE!,,10,3,0,2016,1,1,1,13958.6435,13958.6435,FALSE,3629.24731,-12.71109736
531349802,08/02/2015 21:08,17/06/2015 0:00,21/06/2015 0:00,starstuff@hotmail.com,4739413511109160,547864415,49,5,OM3334,LK3178,Hilton,5,6,Ski,False,Budapest,Hungary,Europe,Aeromexico,Qantas,F,07/12/1953 0:00,68,65+,2,1,21,2015,2,6,1,13871.164,13871.164,TRUE,3329.07936,-21.21049353
531336729,29/09/2015 1:58,13/01/2016 0:00,21/01/2016 0:00,doormat@hotmail.com,6734735587354600,1760272077,208,9,VP5392,RP2951,Choice,5,10,Romantic,True,Lahore,Pakistan,Asia,LATAM Brasil,Hawaiian Airlines,F,28/03/1982 0:00,40,35-45,9,3,1,2016,1,1,1,9843.977,9843.977,TRUE,2559.43402,15
531352654,09/08/2017 16:48,26/01/2018 0:00,01/02/2018 0:00,afifi@outlook.com,9918460725270900,1760272077,208,7,VP5392,RP2951,Choice,4,8,Romantic,True,Lahore,Pakistan,Asia,LATAM Brasil,Hawaiian Airlines,F,02/06/1968 0:00,54,45-55,8,4,16,2018,1,1,1,9843.977,9843.977,TRUE,2559.43402,19
531355413,10/08/2011 15:36,26/10/2011 0:00,29/10/2011 0:00,tfinniga@att.net,8780294235343710,1392441687,127,4,ZU9956,NN7845,Hyatt,3,7,Beach,False,Dubai,United Arab Emirates,Asia,Brussels Airlines,Icelandair,M,17/08/1996 0:00,25,25-35,8,4,15,2011,4,10,1,9760.938,9760.938,TRUE,2049.79698,33.0383948
530932306,27/12/2017 18:58,03/03/2018 0:00,05/03/2018 0:00,jaffe@mac.com,2531264899779810,1392441687,127,3,ZU9956,NN7845,Hyatt,1,5,Beach,False,Dubai,United Arab Emirates,Asia,Brussels Airlines,Icelandair,O,04/03/1996 0:00,26,25-35,12,4,18,2018,1,3,1,9760.938,9760.938,TRUE,2440.2345,35.3808281
531345012,13/03/2018 19:24,04/07/2018 0:00,10/07/2018 0:00,nacho@me.com,5870001832216800,25902480,203,7,VD8664,LV0011,Hyatt,4,5,Luxury,True,Tashkent,Uzbekistan,Asia,SAS,Copa Airlines,M,13/03/1962 0:00,60,55-65,3,3,19,2018,3,7,1,11726.766,11726.766,TRUE,2882.62086,12
531344321,28/08/2016 7:46,26/09/2016 0:00,07/10/2016 0:00,johnh@gmail.com,9918460725271470,1874855309,169,12,JV0023,BE2049,Accor,4,4,Romantic,True,Paris,France,Europe,Gol,Cathay Pacific,M,08/03/1969 0:00,53,45-55,8,1,7,2016,3,9,1,9645.108,9645.108,FALSE,1832.57052,4
531332293,14/01/2019 21:19,25/01/2019 0:00,06/02/2019 0:00,NULL,4706553960333240,547864415,49,13,OM3334,LK3178,Hilton,5,5,Ski,False,Budapest,Hungary,Europe,Aeromexico,Qantas,F,NULL,#VALUE!,,1,2,21,2019,1,1,1,13459.8655,13459.8655,FALSE,3499.56503,-16.60320841
531370428,29/09/2014 2:25,18/03/2015 0:00,30/03/2015 0:00,jadavis@verizon.net,5252388310401500,1760272077,208,13,VP5392,RP2951,Choice,5,6,Romantic,True,Lahore,Pakistan,Asia,LATAM Brasil,Hawaiian Airlines,M,24/09/1967 0:00,54,45-55,9,2,2,2015,1,3,1,9415.978,9415.978,TRUE,2353.9945,18
531367774,24/03/2019 13:35,25/03/2019 0:00,29/03/2019 0:00,sassen@msn.com,5791256121501940,1760272077,208,5,VP5392,RP2951,Choice,4,8,Romantic,True,Lahore,Pakistan,Asia,LATAM Brasil,Hawaiian Airlines,F,04/05/1966 0:00,56,55-65,3,1,13,2019,1,3,1,9415.978,9415.978,TRUE,2353.9945,18
531352898,29/10/2016 13:29,29/12/2016 0:00,30/12/2016 0:00,hifcvib.pfyyvxj@gmail.com,2141106841933500,1715143805,154,2,UG9305,HJ0716,Best Western,4,4,Beach,True,Paris,France,Europe,Thomas Cook Airlines,Vueling Airlines,O,ALUE!,#VALUE!,,10,7,13,2016,4,12,1,9368.864,9368.864,TRUE,1686.39552,39.24573
531363768,09/06/2016 23:48,04/08/2016 0:00,08/08/2016 0:00,jgldumjh.uknwkq@gmail.com,7802916387990670,1715143805,154,5,UG9305,HJ0716,Best Western,4,9,Beach,True,Paris,France,Europe,Thomas Cook Airlines,Vueling Airlines,O,26/08/1999 0:00,22,-25,6,5,23,2016,3,8,1,9368.864,9368.864,TRUE,1780.08416,35.41102725
